time,PR
2021-09-09 00:00:00+00:00,0.7976592069361923
2021-09-10 00:00:00+00:00,0.8070754796326852
2021-09-11 00:00:00+00:00,0.8038520385941129
2021-09-12 00:00:00+00:00,0.7773385453901
2021-09-13 00:00:00+00:00,
2021-09-14 00:00:00+00:00,
2021-09-15 00:00:00+00:00,0.6509207920272558
2021-09-16 00:00:00+00:00,0.7453382548733412
2021-09-17 00:00:00+00:00,0.7542053178271422
2021-09-18 00:00:00+00:00,
2021-09-19 00:00:00+00:00,
2021-09-20 00:00:00+00:00,0.7145019897060397
2021-09-21 00:00:00+00:00,0.9301002764871729
2021-09-22 00:00:00+00:00,0.7994254681649722
2021-09-23 00:00:00+00:00,
2021-09-24 00:00:00+00:00,
2021-09-25 00:00:00+00:00,0.9147817649193961
2021-09-26 00:00:00+00:00,0.7484862130915736
2021-09-27 00:00:00+00:00,0.8000655413923891
2021-09-28 00:00:00+00:00,0.8096710237073379
2021-09-29 00:00:00+00:00,
2021-09-30 00:00:00+00:00,
2021-10-01 00:00:00+00:00,1.251740463907402
2021-10-02 00:00:00+00:00,
2021-10-03 00:00:00+00:00,0.7011574914901547
2021-10-04 00:00:00+00:00,
2021-10-05 00:00:00+00:00,0.5000345417121272
2021-10-06 00:00:00+00:00,
2021-10-07 00:00:00+00:00,
2021-10-08 00:00:00+00:00,0.6690285478149821
2021-10-09 00:00:00+00:00,
2021-10-10 00:00:00+00:00,0.6117756600313876
2021-10-11 00:00:00+00:00,0.6649231074336563
2021-10-12 00:00:00+00:00,
2021-10-13 00:00:00+00:00,0.787738347659541
2021-10-14 00:00:00+00:00,
2021-10-15 00:00:00+00:00,
2021-10-16 00:00:00+00:00,
2021-10-17 00:00:00+00:00,
2021-10-18 00:00:00+00:00,0.7040872998462856
2021-10-19 00:00:00+00:00,0.7814394214216835
2021-10-20 00:00:00+00:00,
2021-10-21 00:00:00+00:00,
2021-10-22 00:00:00+00:00,
2021-10-23 00:00:00+00:00,
2021-10-24 00:00:00+00:00,
2021-10-25 00:00:00+00:00,
2021-10-26 00:00:00+00:00,
2021-10-27 00:00:00+00:00,
2021-10-28 00:00:00+00:00,
2021-10-29 00:00:00+00:00,
2021-10-30 00:00:00+00:00,
2021-10-31 00:00:00+00:00,
2021-11-01 00:00:00+00:00,
2021-11-02 00:00:00+00:00,
2021-11-03 00:00:00+00:00,
2021-11-04 00:00:00+00:00,
2021-11-05 00:00:00+00:00,
2021-11-06 00:00:00+00:00,
2021-11-07 00:00:00+00:00,
2021-11-08 00:00:00+00:00,
2021-11-09 00:00:00+00:00,
2021-11-10 00:00:00+00:00,0.03923477594547189
2021-11-11 00:00:00+00:00,0.5666423564396513
