time,huld
2021-09-10 00:00:00+00:00,1.022461977887942
2021-09-11 00:00:00+00:00,1.0203443139075639
2021-09-12 00:00:00+00:00,1.0094218151174825
2021-09-13 00:00:00+00:00,
2021-09-14 00:00:00+00:00,
2021-09-15 00:00:00+00:00,0.8679064121137724
2021-09-16 00:00:00+00:00,0.9754250650688044
2021-09-17 00:00:00+00:00,0.9965927200817185
2021-09-18 00:00:00+00:00,
2021-09-19 00:00:00+00:00,
2021-09-20 00:00:00+00:00,0.9022090345911616
2021-09-21 00:00:00+00:00,1.1147133976777956
2021-09-22 00:00:00+00:00,1.0662697190965962
2021-09-23 00:00:00+00:00,
2021-09-24 00:00:00+00:00,
2021-09-25 00:00:00+00:00,1.1725949274404954
2021-09-26 00:00:00+00:00,0.9316624865152265
2021-09-27 00:00:00+00:00,1.0184069426943683
2021-09-28 00:00:00+00:00,1.0271484716679136
2021-09-29 00:00:00+00:00,
2021-09-30 00:00:00+00:00,
2021-10-01 00:00:00+00:00,1.6230248759248551
2021-10-02 00:00:00+00:00,
2021-10-03 00:00:00+00:00,0.8867767104820277
2021-10-04 00:00:00+00:00,
2021-10-05 00:00:00+00:00,0.663647437396556
2021-10-06 00:00:00+00:00,
2021-10-07 00:00:00+00:00,
2021-10-08 00:00:00+00:00,0.9049988487356987
2021-10-09 00:00:00+00:00,
2021-10-10 00:00:00+00:00,0.7468722272786676
2021-10-11 00:00:00+00:00,0.830359922181477
2021-10-12 00:00:00+00:00,
2021-10-13 00:00:00+00:00,1.0496989323006465
2021-10-14 00:00:00+00:00,
2021-10-15 00:00:00+00:00,
2021-10-16 00:00:00+00:00,
2021-10-17 00:00:00+00:00,
2021-10-18 00:00:00+00:00,0.9612555153756479
2021-10-19 00:00:00+00:00,1.092590346998245
2021-10-20 00:00:00+00:00,
2021-10-21 00:00:00+00:00,
2021-10-22 00:00:00+00:00,
2021-10-23 00:00:00+00:00,
2021-10-24 00:00:00+00:00,
2021-10-25 00:00:00+00:00,
2021-10-26 00:00:00+00:00,
2021-10-27 00:00:00+00:00,
2021-10-28 00:00:00+00:00,
2021-10-29 00:00:00+00:00,
2021-10-30 00:00:00+00:00,
2021-10-31 00:00:00+00:00,
2021-11-01 00:00:00+00:00,
2021-11-02 00:00:00+00:00,
2021-11-03 00:00:00+00:00,
2021-11-04 00:00:00+00:00,
2021-11-05 00:00:00+00:00,
2021-11-06 00:00:00+00:00,
2021-11-07 00:00:00+00:00,
2021-11-08 00:00:00+00:00,
2021-11-09 00:00:00+00:00,
2021-11-10 00:00:00+00:00,0.0467352480702254
2021-11-11 00:00:00+00:00,0.7244769703598363
